Date,Time,Pair,Price
10/06/2022,10:37:09,WBTC/USD,20032.0
10/06/2022,10:37:10,WBTC/USD,20034.63
10/06/2022,10:37:11,WBTC/USD,20034.04
10/06/2022,10:37:12,WBTC/USD,20036.09
10/06/2022,10:37:13,WBTC/USD,20033.91
10/06/2022,10:37:14,WBTC/USD,20034.92
10/06/2022,10:37:15,WBTC/USD,20034.18
10/06/2022,10:37:16,WBTC/USD,20035.06
10/06/2022,10:37:17,WBTC/USD,20033.68
10/06/2022,10:37:19,WBTC/USD,20034.56
10/06/2022,10:37:20,WBTC/USD,20034.61
10/06/2022,10:37:21,WBTC/USD,20034.14
10/06/2022,10:37:22,WBTC/USD,20035.18
10/06/2022,10:37:23,WBTC/USD,20034.12
10/06/2022,10:37:24,WBTC/USD,20034.86
10/06/2022,10:37:26,WBTC/USD,20034.86
10/06/2022,10:37:27,WBTC/USD,20033.54
10/06/2022,10:37:28,WBTC/USD,20033.77
10/06/2022,10:37:29,WBTC/USD,20034.19
10/06/2022,10:37:30,WBTC/USD,20033.76
10/06/2022,10:37:31,WBTC/USD,20034.1
10/06/2022,10:37:32,WBTC/USD,20034.1
10/06/2022,10:37:33,WBTC/USD,20034.11
10/06/2022,10:37:34,WBTC/USD,20034.1
10/06/2022,10:37:36,WBTC/USD,20035.0
10/06/2022,10:37:37,WBTC/USD,20035.0
10/06/2022,10:37:38,WBTC/USD,20035.0
10/06/2022,10:37:39,WBTC/USD,20035.1
10/06/2022,10:37:40,WBTC/USD,20035.04
10/06/2022,10:37:41,WBTC/USD,20035.39
10/06/2022,10:37:42,WBTC/USD,20037.0
10/06/2022,10:37:43,WBTC/USD,20039.19
10/06/2022,10:37:44,WBTC/USD,20038.0
10/06/2022,10:37:45,WBTC/USD,20038.0
10/06/2022,10:37:47,WBTC/USD,20038.0
10/06/2022,10:37:48,WBTC/USD,20038.0
10/06/2022,10:37:48,WBTC/USD,20038.0
10/06/2022,10:37:49,WBTC/USD,20038.0
10/06/2022,10:37:50,WBTC/USD,20038.0
10/06/2022,10:37:51,WBTC/USD,20038.0
10/06/2022,10:37:52,WBTC/USD,20038.0
10/06/2022,10:37:53,WBTC/USD,20037.87
10/06/2022,10:37:55,WBTC/USD,20037.87
10/06/2022,10:37:56,WBTC/USD,20038.12
10/06/2022,10:37:57,WBTC/USD,20038.67
10/06/2022,10:37:58,WBTC/USD,20039.0
10/06/2022,10:38:00,WBTC/USD,20039.00509078
10/06/2022,10:38:01,WBTC/USD,20039.00509078
10/06/2022,10:38:02,WBTC/USD,20039.00509078
10/06/2022,10:38:03,WBTC/USD,20039.00509078
10/06/2022,10:38:05,WBTC/USD,20039.00509078
10/06/2022,10:38:06,WBTC/USD,20039.00509078
10/06/2022,10:38:07,WBTC/USD,20039.00509078
10/06/2022,10:38:08,WBTC/USD,20039.00509078
10/06/2022,10:38:09,WBTC/USD,20039.00509078
10/06/2022,10:38:10,WBTC/USD,20039.00509078
10/06/2022,10:38:11,WBTC/USD,20039.00509078
10/06/2022,10:38:12,WBTC/USD,20039.00509078
10/06/2022,10:38:13,WBTC/USD,20039.00509078
10/06/2022,10:38:14,WBTC/USD,20039.00509078
10/06/2022,10:38:15,WBTC/USD,20039.00509078
10/06/2022,10:38:16,WBTC/USD,20039.00509078
10/06/2022,10:38:17,WBTC/USD,20039.00509078
10/06/2022,10:38:18,WBTC/USD,20039.00509078
10/06/2022,10:38:20,WBTC/USD,20040.12271516
10/06/2022,10:38:20,WBTC/USD,20040.12271516
10/06/2022,10:38:22,WBTC/USD,20040.12271516
10/06/2022,10:38:23,WBTC/USD,20040.12271516
10/06/2022,10:38:24,WBTC/USD,20040.12271516
10/06/2022,10:38:25,WBTC/USD,20040.12271516
10/06/2022,10:38:27,WBTC/USD,20040.12271516
10/06/2022,10:38:28,WBTC/USD,20040.12271516
10/06/2022,10:38:29,WBTC/USD,20040.12271516
10/06/2022,10:38:30,WBTC/USD,20040.12271516
10/06/2022,10:38:31,WBTC/USD,20040.12271516
10/06/2022,10:38:32,WBTC/USD,20040.12271516
10/06/2022,10:38:33,WBTC/USD,20040.12271516
10/06/2022,10:38:34,WBTC/USD,20040.12271516
10/06/2022,10:38:35,WBTC/USD,20040.12271516
10/06/2022,10:38:37,WBTC/USD,20040.12271516
10/06/2022,10:38:37,WBTC/USD,20040.12271516
10/06/2022,10:38:38,WBTC/USD,20041.04
10/06/2022,10:38:40,WBTC/USD,20040.55
10/06/2022,10:38:41,WBTC/USD,20040.12271516
10/06/2022,10:38:42,WBTC/USD,20040.0
10/06/2022,10:38:43,WBTC/USD,20043.09
10/06/2022,10:38:44,WBTC/USD,20042.71
10/06/2022,10:38:45,WBTC/USD,20041.16
10/06/2022,10:38:46,WBTC/USD,20040.92
10/06/2022,10:38:47,WBTC/USD,20040.3
10/06/2022,10:38:48,WBTC/USD,20040.23
10/06/2022,10:38:49,WBTC/USD,20040.23
10/06/2022,10:38:50,WBTC/USD,20040.75
10/06/2022,10:38:51,WBTC/USD,20043.43
10/06/2022,10:38:52,WBTC/USD,20041.73
10/06/2022,10:38:53,WBTC/USD,20042.09
10/06/2022,10:38:54,WBTC/USD,20040.0
10/06/2022,10:38:55,WBTC/USD,20040.19
10/06/2022,10:38:56,WBTC/USD,20040.0
10/06/2022,10:38:58,WBTC/USD,20040.0
10/06/2022,10:38:59,WBTC/USD,20040.0
10/06/2022,10:39:00,WBTC/USD,20040.0
10/06/2022,10:39:01,WBTC/USD,20040.0
10/06/2022,10:39:02,WBTC/USD,20044.14
10/06/2022,10:39:03,WBTC/USD,20045.1
